,Playlist_ID,Video_ID,Video_Name,Video_Description,Video_Published_Date,Video_Published_Time,Video_Duration,Video_Caption,Video_ViewCount,Video_LikeCount,Video_CommentCount,Video_FavoriteCount
0,PL4f1fCd16xlKzp8w--shY1iucTouWAXhW,fB2pYRHVzyM,"WHITE MUTTON BIRYANI WITH SPICY CHICKEN LEG CURRY, RAITA AND GRAVY | BIG BITES | FOOD EATING VIDEOS","White Mutton Biryani Recipe 

https://youtu.be/FCU46l4yvaA




Spicy Chicken Curry Recipe 

https://youtu.be/8saDuxkHDWs






#muttonbiryani
#spicychickencurry
#bigbites
#asmrvideos
#asmreating
#mukbang
#indianfood
#indianfoodeating
#foodchallenge
#eatingchallenge
#asmreatingshow
#eatingshow
#messyeating
#spicyfood
#spicyfoodchallenge
#asmr





Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz




Talk to me on Facebook 

https://www.facebook.com/MaddyEats-104339091625112/",08-01-2022,17:17:49,12 min 7 sec,false,2461517,55340,2674,0
1,PL4f1fCd16xlKzp8w--shY1iucTouWAXhW,O3ArZuQ75-g,SPICY CHICKEN CURRY🔥SPICY MUTTON CURRY AND SPICY EGG CURRY WITH RICE | BIG BITES | FOOD EATING SHOW,"Mutton Curry Recipe 

https://youtu.be/iIehB04xVJE





Chicken Curry Recipe 

https://youtu.be/8saDuxkHDWs




Egg Curry Recipe 

https://youtu.be/_ModJiZBufE





Gulab Jamun Amazon Link 

https://amzn.to/3gpF04e





Extra Gravy Recipe 

https://youtu.be/bKrvIk8KQPY







#muttoncurry
#chickencurry
#eggcurry
#bigbites
#indianmukbang
#mukbang
#indianfood
#spicyfood
#spicyfoodeating
#asmrvideos
#foodchallenge
#eatingchallenge
#spicyfoodchallenge
#messyeating






Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz




Talk to me on Facebook 

https://www.facebook.com/MaddyEats-104339091625112/",08-01-2022,17:17:55,12 min 27 sec,false,21579270,283496,10177,0
2,PL4f1fCd16xlKzp8w--shY1iucTouWAXhW,fLuAqTqjkFY,"1 KG SPICY BOMBAY CHICKEN BIRYANI 🍗 WITH 3 BIG SPICY CHICKEN LEG PIECE CURRY, RAITA |FOOD CHALLENGE","Bombay Chicken Biryani Recipe 

https://youtu.be/j35pVYL-G-U





Chicken Curry Recipe 

https://youtu.be/8saDuxkHDWs





Raita Recipe 

https://youtu.be/IhajKHSv5jA",03-03-2022,10:40:17,11 min 57 sec,false,4716031,80504,2386,0
3,PL4f1fCd16xlKzp8w--shY1iucTouWAXhW,kw6nvG8REBk,BUTTER CHICKEN🍗 SUNNY SIDE UP EGG CURRY | VEG BIRYANI | BUTTER NAAN AND RAITA |FOOD EATING VIDEOS🔥,"Kathel Biryani Recipe 

https://youtu.be/F6uTJTGcJw4


Butter Chicken Recipe 

https://youtu.be/H2H_CuH1RsQ


Sunny Side Up Egg Recipe 

https://youtu.be/MX_hill68A0


Butter Naan Recipe 

https://youtu.be/x9EYjFVOr-Q


Extra Gravy Recipe 

https://youtu.be/bKrvIk8KQPY",16-03-2022,09:35:19,12 min 27 sec,false,1547547,36912,1333,0
4,PL4f1fCd16xlLWMCUOlVg2YJ-grliOhTBS,2eIhrchbquE,EXTREMELY SPICY CHICKEN LOLLIPOP EATING CHALLENGE 🥵 SPICY CHICKEN LOLLIPOP EATING CHALLENGE|MUKBANG,"Schezwan Chutney Recipe 

https://youtu.be/oxDpeqH3_cQ





Chicken Lollipop Recipe 

https://youtu.be/zo_rv_JSIy4






Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz




Talk to me on Facebook 

https://www.facebook.com/MaddyEats-104339091625112/",08-01-2022,17:09:48,10 min 38 sec,false,4200840,79571,2803,0
5,PL4f1fCd16xlLWMCUOlVg2YJ-grliOhTBS,iGzJwuHpiY8,20 BIGGEST TANDOORI CHICKEN TANGDI EATING CHALLENGE 🔥 CHICKEN LEG PIECE EATING CHALLENGE | MUKBANG,"Tandoori Chicken Tangdi Recipe 

https://youtu.be/z5TMH2fEu4k





Tandoori Whole Chicken Recipe 

https://youtu.be/aJgVFLyL7cc





Tandoori Chicken Leg Piece Recipe 

https://youtu.be/M13W4jY2PfI






Schezwan Chutney Amazon Link

https://amzn.to/3fSoMAe






Mayonnaise Amazon Link 

https://amzn.to/3zBIVCw






#tandoorichicken 
#chickenlegpiece 
#legpiecechallenge
#foodchallenge 
#asmrvideos 
#eatingchallenge 
#spicyfood 
#asmreating 
#asmrmukbang 
#bigbites 
#eatingshow 
#mukbang 
#indianmukbang 







Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz




Talk to me on Facebook 

https://www.facebook.com/MaddyEats-104339091625112/",08-01-2022,17:12:32,12 min 32 sec,false,9628760,142247,7462,0
6,PL4f1fCd16xlLWMCUOlVg2YJ-grliOhTBS,ffsIvPXAvJo,50 STUFFED BAO BUN EATING CHALLENGE 😋 CHICKEN STUFFED BAO BUNS AND PANEER STUFFED BAO BUN | MUKBANG,"Paneer Stuffed Bao Bun Recipe 

https://youtu.be/Ro6_zyA6Go4





Chicken Stuffed Bao Bun Recipe 

https://youtu.be/85crh12SqBc





Schezwan Chutney Amazon Link

https://amzn.to/3fSoMAe





#50baobuns
#foodchallenge 
#baobunchallenge
#eatingchallenge
#asmrvideos 
#eatingshow 
#mukbang 
#asmreating 
#bigbites 
#indianmukbang 
#spicyfood 
#asmrmukbang 
#asmreatingshow 
#spicyfoodchallenge






Talk to me on FaceBook

https://www.facebook.com/MaddyEats-104339091625112/




Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz",08-01-2022,17:14:08,12 min 51 sec,false,2049750,52784,2605,0
7,PL4f1fCd16xlLWMCUOlVg2YJ-grliOhTBS,dFq4QcDt8oo,50 RED VELVET CUPCAKE EATING CHALLENGE 🧁 50 CUPCAKE EATING CHALLENGE | CAKE EATING CHALLENGE 🥵,"Red Velvet Cake Recipe 

https://youtu.be/_-MytDaHd9w





Fruit Cake Recipe 

https://youtu.be/NAI3omzv54c





Chocolate Cake Recipe 

https://youtu.be/nF931DStzec





Mango Cake Recipe 

https://youtu.be/bnFdlZAcDd0





#foodchallenge 
#cakeeatingchallenge
#cupcakeeating





Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz





Talk to me on Facebook 

https://www.facebook.com/MaddyEats-104339091625112/",08-01-2022,17:15:12,10 min 33 sec,false,1788726,43703,2605,0
8,PL4f1fCd16xlLWMCUOlVg2YJ-grliOhTBS,1V1NvUCWrPc,10 PACKET SPICY BLACK BEAN NOODLES CHALLENGE 🔥🥵SPICY SAMYANG NOODLES EATING CHALLENGE|EATING SHOW,"Black Bean Noodles Amazon Link 

https://amzn.to/34LLnIs






Sunny Side Up Egg Recipe 

https://youtu.be/MX_hill68A0







#blackbeannoodles
#spicynoodleschallenge
#noodleschallenge
#spicyfoodeating
#asmrvideos
#bigbites
#asmreating
#eatingshow
#asmreatingshow
#foodchallenge
#eatingchallenge






Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz





Talk to me on Facebook 

https://www.facebook.com/MaddyEats-104339091625112/",08-01-2022,17:15:46,11 min 28 sec,false,10443915,140862,2605,0
9,PL4f1fCd16xlLWMCUOlVg2YJ-grliOhTBS,LVBJL61GtuQ,120 PANIPURI EATING CHALLENGE 😱 GOLGAPPA EATING CHALLENGE | PHUCHKA EATING CHALLENGE|FOOD CHALLENGE,"Panipuri Recipe

https://youtu.be/SIjIm5ZMV3U





#panipurichallenge
#golgappachallenge
#hugefoodchallenge
#foodchallenge
#eatingchallenge
#indianfood
#indianmukbang
#mukbang
#asmrvideos
#asmreating
#eatingshow
#asmreatingshow





Talk to me on Instagram 

https://instagram.com/madhuri_lahiri?igshid=155hnliay7jaz




Talk to me on Facebook 

https://www.facebook.com/MaddyEats-104339091625112/",08-01-2022,17:16:13,10 min 3 sec,false,13700292,175795,4977,0
